title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
Beowulf (lines 1-100),Anonymous,1000,Anglo-Saxon,nan,Epic,Narrative,Linear,Exposition,Third person,Mimetic,Omniscient,nan,Anaphoric,Implied,The audience,Past,Chronological,Oral,Narrative,Epic Poetry,Nan,Alliterative,Nan
Beowulf (Grendel's attack),Anonymous,1000,Anglo-Saxon,nan,Epic,Narrative,Chronological,Exposition,Third person omniscient,Mimetic,External,nan,Anaphoric,Indirect,Grendel's mother's dwelling,Past,Linear,Oral,Narrative,Epic poetry,Nan,Alliterative,Nan
Beowulf (Beowulf vs. Grendel),Anonymous,1000,Anglo-Saxon,nan,Epic,Narrative,Linear,Exposition,Third person omniscient,Mimetic,External,Third person,Anaphoric,Implied,None,Past,Chronological,Oral,Narrative,Epic,None,Unknown,Unknown
Beowulf (Beowulf's funeral),Anonymous,1000,Anglo-Saxon,nan,Epic,Descriptive,nan,Exposition,Third person,Mimetic,External,nan,Past,General,nan,Past,Chronological,Old English,Narrative,Epic Poetry,nan,Alliterative,nan
The Wanderer,Anonymous,975,Medieval,nan,Epic,Descriptive,nan,Expository,Third person,Mimetic,Omniscient,nan,Anaphoric,Imaginary,nan,Past,Chronological,Anglo-Saxon,Narrative,Epic Poetry,Quatrains,Dactylic hexameter,AABBCCB
The Seafarer,Anonymous,990,Medieval,nan,Formal,Epideictic,nan,nan,nan,nan,nan,nan,nan,nan,nan,Past,nan,Old English,Lyric,Epic,Quatrains,Alliterative,A-B-A-B
The Wife's Lament,Anonymous,950,Medieval,nan,Lamenting,Epideictic,nan,nan,nan,nan,nan,Female,nan,nan,nan,Past,Sequential,Old English,Narrative,Lyric,Quatrains,Dactylic hexameter,AABBCC
The Husband's Message,Anonymous,950,Medieval,nan,Formal,Persuasive,Monologue,Expository,Third person,Extradiegetic,Omniscient,nan,Anaphoric,Indirect,nan,Past,Linear,Anglo-Saxon,Narrative,Lyric,Quatrains,Dactylic hexameter,AABB
The Ruin,Anonymous,950,Medieval,nan,Descriptive,Descriptive,nan,Expository,nan,Mimetic,External,nan,External,General,nan,Past,Chronological,Old English,Descriptive,Lyric,Quatrains,Dactylic hexameter,AABBCC
Deor,Anonymous,950,Old English,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,past,nan,Anglo-Saxon,nan,nan,nan,nan,nan
Wulf and Eadwacer,Anonymous,950,Anglo-Saxon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,past,nan,Old English Poetry,nan,nan,nan,nan,nan
The Dream of the Rood,Anonymous,950,Anglo-Saxon,nan,Religious,Didactic,nan,Expository,Third person omniscient,Mimetic,Omniscient,nan,Anaphoric,God,The Rood,Historical,Chronological,Anglo-Saxon Poetic Tradition,Narrative,Religious Poetry,nan,Alliterative,A-B-A-B
Caedmon's Hymn,Caedmon,680,Anglo-Saxon,Anglo-Saxon Poetry,Hymnic,Incantatory,Descriptive,Expository,Nan,Non-diegetic,Omniscient,Nan,Non-deictic,Divine,Nan,Past,Linear,Anglo-Saxon Oral Tradition,Narrative,Religious,Quatrains,Dactylic hexameter,AABBCCB
The Battle of Maldon,Anonymous,991,Anglo-Saxon,nan,Epic,Epideictic,nan,nan,Extradiegetic,Mimetic,Omniscient,nan,Anaphoric,Community,Battle of Maldon,Past,Chronological,Anglo-Saxon Poetry,Narrative,Epic Poetry,nan,Anapestic,AABBCCB
The Phoenix,Anonymous,975,Medieval,nan,Epic,Narrative,nan,Expository,Third person omniscient,Mimetic,Omniscient,nan,Anaphoric,Indirect,The Phoenix,Past,Chronological,Classical,Narrative,Epic Poetry,Quatrains,Iambic pentameter,AABB
The General Prologue,Geoffrey Chaucer,1387,Medieval,nan,Formal,Descriptive,nan,Expository,Extradiegetic,Mimetic,Omniscient,nan,Anaphoric,Indirect,nan,Past,Chronological,British,Narrative,Epic,Quatrains,Iambic pentameter,AABB
The Knight's Tale,Geoffrey Chaucer,1387,Medieval,Middle English Literature,Formal,Narrative,Descriptive,Expository,Third person omniscient,Mimetic,Omniscient,nan,Anaphoric,Implied,nan,Past,Chronological,Canterbury Tales,Narrative,Fabliau,Quatrains,Iambic pentameter,AABBCC
The Miller's Tale,Geoffrey Chaucer,1387,Medieval,nan,nan,nan,nan,nan,Extradiegetic,Mimetic,Omniscient,nan,nan,nan,nan,Past,Chronological,Canterbury Tales,Narrative,Fabliau,nan,nan,AABBCC
The Wife of Bath's Prologue,Geoffrey Chaucer,1387,Medieval,nan,nan,nan,Monologue,First-person narrative,Extradiegetic,Extradiegetic,First-person,Female,Second person,Reader,nan,Past,Flashback,Canterbury Tales,Narrative,Fabliau,Irregular,nan,AABBCC
The Wife of Bath's Tale,Geoffrey Chaucer,1387,Medieval,Middle English Literature,Narrative,Didactic,Framed narrative,Oral,Third person,Exterior,Omniscient,Third person,Extradiegetic,Indirect,The Wife of Bath,Past,Linear,Canterbury Tales,Narrative,Fabliau,Irregular,Iambic pentameter,AABBCC
The Pardoner's Tale,Geoffrey Chaucer,1387,Medieval,nan,Formal,Didactic,nan,nan,Extradiegetic,Mimetic,Omniscient,nan,Anaphoric,Indirect,nan,Past,Chronological,Canterbury Tales,Narrative,Fable,nan,Iambic pentameter,AABBCC
The Nun's Priest's Tale,Geoffrey Chaucer,1387,Medieval,nan,nan,nan,Frame narrative,nan,Extradiegetic,Realistic,Omniscient,nan,nan,nan,nan,Past,Chronological,Canterbury Tales,Narrative,Fabliau,Irregular,Iambic pentameter,AABBCCRhyme scheme
Troilus and Criseyde (Book I),Geoffrey Chaucer,1385,Medieval,Middle English Literature,Formal,Narrative,Exposition,Fictional Narrative,Third Person Omniscient,Mimetic,Omniscient,nan,Anaphoric,Implied,nan,Past,Chronological,Canterbury Tales,Narrative,Epic,Quatrains,Iambic pentameter,AABB
Troilus and Criseyde (Book V),Geoffrey Chaucer,1385,Medieval,Middle English Literature,Formal,Narrative,Linear,Expository,Third person omniscient,Mimetic,Omniscient,nan,Anaphoric,Implied,The story of Troilus and Criseyde,Past,Chronological,Canterbury Tales,Narrative,Romance,Nan,Iambic pentameter,AABBCC
The Parliament of Fowls,Geoffrey Chaucer,1382,Medieval,Middle English Literature,Formal,Descriptive,Narrative,Expository,Third person omniscient,Extradiegetic,Omniscient,nan,Third person,General,nan,Past,Sequential,Canterbury Tales,Narrative,Poetry,Five-line stanzas with a rhyme scheme of ABAAB,Iambic pentameter,A rhyming poem
The Book of the Duchess,Geoffrey Chaucer,1369,Medieval,Middle English Literature,Formal,Narrative,Framed narrative,Poetic,Exterior,Mimetic,Third person omniscient,nan,Anaphoric,Implied,nan,Past,Linear,Canterbury Tales,Narrative,Allegory,Quatrains,Iambic pentameter,AABB
Sir Gawain and the Green Knight (Fitt I),Pearl Poet,1375,Medieval,nan,Formal,Epideictic,nan,nan,Extradiegetic,Mimetic,Omniscient,nan,nan,nan,nan,Past,Chronological,Arthurian Legend,Narrative,Epic,Quatrains,Iambic pentameter,ABAB
Sir Gawain and the Green Knight (Fitt II),Pearl Poet,1375,Medieval,nan,Formal,Epical,nan,Exposition,Third person omniscient,Mimetic,Omniscient,nan,Third person,Implied,nan,Past,Chronological,Arthurian,Narrative,Epic,Quatrains,Iambic pentameter,ABAB
Sir Gawain and the Green Knight (Fitt IV),Pearl Poet,1375,Medieval,Middle English Alliterative Poetry,Formal,Epideictic,Monologue,Explicit,Third person,Mimetic,Omniscient,Third person,External,Implied,The Green Knight,Past,Linear,Arthurian Legend,Narrative,Epic,Quatrains,Iambic pentameter,AABB
Pearl,Pearl Poet,1375,Medieval,Middle English Literature,Formal,Descriptive,Paradigmatic,Poetic,Extradiegetic,Non-diegetic,Third person omniscient,nan,Anaphoric,Implied,Pearl,Past,Linear,Middle English Alliterative Poetry,Descriptive,Allegory,Quatrains,Alliterative,AABB
Piers Plowman (Prologue),William Langland,1370,Medieval,Middle English Alliterative Poetry,Formal,Exhortatory,Monologue,First person,Extradiegetic,External,Omniscient,First person (narrator),Anaphoric,Implied,The reader,Past,Flashback,Middle English Literature,Narrative,Allegory,Four-line stanzas with a rhyme scheme of AABB,Iambic pentameter,A rhyming poem
Piers Plowman (Passus I),William Langland,1370,Medieval,Middle English Alliterative Poetry,Didactic,Exhortatory,Monologue,First person,Extradiegetic,External,Third person (omniscient),Narrator,Anaphoric,General,N/A,Past,Linear,Middle English Literature,Narrative,Allegory,Quatrains,Iambic pentameter with alliteration,AABB
Piers Plowman (Passus XVIII),William Langland,1370,Medieval,Middle English Alliterative,Didactic,Exhortatory,Monologue,Narrative,Third person omniscient,Extradiegetic,Omniscient,nan,Anaphoric,General,nan,Past,Linear,Middle English Literature,Narrative,Allegory,Four-line stanzas with a rhyme scheme of AABB,Iambic pentameter,A rhyming poem
The Second Shepherds' Play,Wakefield Master,1475,Medieval,nan,nan,nan,Drama,Social commentary,Extradiegetic,Mimetic,Omniscient,nan,Intradiegetic,Live audience,nan,Past,Linear,Middle English,Narrative,Comedy,Five-line stanzas,Iambic pentameter,AABBCC
Everyman,Anonymous,1495,Medieval,nan,Formal,Didactic,Expository,Monologue,Third person omniscient,Extradiegetic,Omniscient,nan,Anaphoric,General,nan,Past,Chronological,Middle English,Narrative,Allegory,Quatrains,Iambic pentameter,AABB
Sumer Is Icumen In,Anonymous,1260,Medieval,nan,nan,nan,stanzaic,lyrical,nan,mimetic,third person,nan,present,general,sumer,present,annual,nan,lyric,nan,quatrain,trochaic tetrameter,AABB
Alison,Anonymous,1300,Medieval,nan,Formal,Descriptive,nan,Expository,nan,Mimetic,Third person omniscient,nan,Anaphoric,Indirect,nan,Past,Chronological,Middle English,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
The Cuckoo Song,Anonymous,1250,Medieval,nan,Folksy,Descriptive,nan,Expository,nan,Mimetic,Third person,nan,Second person,Community,The cuckoo bird,Present,Single moment,Oral tradition,Lyric,Nursery rhyme,Quatrains,Anapestic tetrameter,AABB
I Sing of a Maiden,Anonymous,1400,Medieval,nan,Formal,Descriptive,nan,Expository,nan,Mimetic,Third person omniscient,nan,Anaphoric,General,nan,Past,Sequential,Middle English,Descriptive,Lyric,Quatrains,Iambic pentameter,AABB
