title,author,year_approx,period_hint,notes,classified
Sonnet 29: When in disgrace with fortune and men's eyes,William Shakespeare,1609,Renaissance,,no
Sonnet 73: That time of year thou mayst in me behold,William Shakespeare,1609,Renaissance,,no
Sonnet 116: Let me not to the marriage of true minds,William Shakespeare,1609,Renaissance,,no
Sonnet 130: My mistress' eyes are nothing like the sun,William Shakespeare,1609,Renaissance,,no
The Flea,John Donne,1633,Renaissance,,no
A Valediction: Forbidding Mourning,John Donne,1633,Renaissance,,no
Death Be Not Proud,John Donne,1633,Renaissance,,no
Batter My Heart,John Donne,1633,Renaissance,,no
The Sun Rising,John Donne,1633,Renaissance,,no
The Canonization,John Donne,1633,Renaissance,,no
"To Althea, From Prison",Richard Lovelace,1649,Renaissance,,no
"To Lucasta, Going to the Wars",Richard Lovelace,1649,Renaissance,,no
When I Consider How My Light Is Spent,John Milton,1673,Renaissance,On His Blindness,no
Methought I Saw My Late Espoused Saint,John Milton,1673,Renaissance,,no
How Soon Hath Time,John Milton,1645,Renaissance,,no
On Shakespeare,John Milton,1632,Renaissance,,no
The Collar,George Herbert,1633,Renaissance,,no
The Pulley,George Herbert,1633,Renaissance,,no
Easter Wings,George Herbert,1633,Renaissance,,no
Virtue,George Herbert,1633,Renaissance,,no
Love (III),George Herbert,1633,Renaissance,,no
The Retreat,Henry Vaughan,1650,Renaissance,,no
They Are All Gone into the World of Light,Henry Vaughan,1655,Renaissance,,no
The World,Henry Vaughan,1650,Renaissance,,no
Song: To Celia,Ben Jonson,1616,Renaissance,Drink to Me Only,no
On My First Son,Ben Jonson,1616,Renaissance,,no
Still to Be Neat,Ben Jonson,1609,Renaissance,,no
To Penshurst,Ben Jonson,1616,Renaissance,,no
A Satire Against Reason and Mankind,"John Wilmot, Earl of Rochester",1679,Augustan,,no
Absalom and Achitophel,John Dryden,1681,Augustan,,no
To the Memory of Mr. Oldham,John Dryden,1684,Augustan,,no
A Song for St. Cecilia's Day,John Dryden,1687,Augustan,,no
