poem_id,title,author,source_url,length_lines,length_words,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme
1,The Things That Cause a Quiet Life,Henry Howard Earl of Surrey,https://www.poetryfoundation.org/poems/45263/the-things-that-cause-a-quiet-life,14,16.0,1547,Tudor,Renaissance,Meditative,Epideictic,Monologic,Description,,Mimetic,Zero,3rd,Impersonal,Unaddressed,The things/quiet life,Atemporal,Static,Translation (Martial),Lyric,,Couplets,Iambic pentameter,AABB
10,On Mr. G. Herbert's Book,Richard Crashaw,https://www.poetryfoundation.org/poems/44626/on-mr-g-herberts-book,18,132.0,1646,Interregnum,Metaphysical,Devotional,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Herbert's book,Present,Static,Original,Lyric,,Couplets,Iambic pentameter,AABB
11,An Apology for Her Poetry,Margaret Cavendish,https://www.poetryfoundation.org/poems/148964/an-apology-for-her-poetry,18,130.0,1653,Interregnum,,Defensive,Forensic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Poetry/critics,Present,Linear,Original,Lyric,,Couplets,Iambic tetrameter,AABB
12,To His Coy Mistress,Andrew Marvell,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,46,304.0,1681,Restoration,Metaphysical,Argumentative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The mistress,Present/Future,Linear,Original,Lyric,,Couplets,Iambic tetrameter,AABB
13,Mac Flecknoe,John Dryden,https://www.poetryfoundation.org/poems/44172/mac-flecknoe,217,1690.0,1682,Restoration,Augustan,Satiric,Epideictic,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Direct address,Shadwell,Past,Linear,Original,Narrative,Satire,Couplets,Iambic pentameter,AABB
14,Eloisa to Abelard,Alexander Pope,https://www.poetryfoundation.org/poems/44892/eloisa-to-abelard,366,2753.0,1717,Neoclassical,Augustan,Passionate,Mixed,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,Abelard,Past/Present,Recursive,Imitation (Ovid),Dramatic,,Couplets,Iambic pentameter,AABB
15,Elegy Written in a Country Churchyard,Thomas Gray,https://www.poetryfoundation.org/poems/44299/elegy-written-in-a-country-churchyard,128,888.0,1751,Neoclassical,Graveyard School,Meditative,Epideictic,Monologic,Commentary/Description,,Mixed,Internal/External,1st/3rd,Shifting,Self-address,The dead,Past/Present,Recursive,Original,Lyric,Elegy,Quatrains,Iambic pentameter,ABAB
16,On Imagination,Phillis Wheatley,https://www.poetryfoundation.org/poems/45465/on-imagination,53,371.0,1773,Neoclassical,,Celebratory,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Imagination,Present,Static,Original,Lyric,Ode,Couplets,Iambic pentameter,AABB
17,Lines Composed a Few Miles above Tintern Abbey,William Wordsworth,https://www.poetryfoundation.org/poems/45527/lines-composed-a-few-miles-above-tintern-abbey-on-revisiting-the-banks-of-the-wye-during-a-tour-july-13-1798,159,1052.0,1798,Romantic,Romanticism,Meditative,Mixed,Monologic,Commentary,,Mixed,Internal,1st,Mixed,Mixed,Nature/sister,Past/Present,Recursive,Original,Lyric,,Blank verse,Iambic pentameter,Unrhymed
18,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,https://www.poetryfoundation.org/poems/43997/the-rime-of-the-ancient-mariner-text-of-1834,625,4665.0,1798,Romantic,Romanticism,Gothic/didactic,Mixed,Monologic,Narrative report,Extradiegetic,Diegetic,External/Internal,3rd/1st,Mixed,Direct address,Wedding guest,Past,Linear,Original,Narrative,,Quatrains,Ballad meter,ABCB
