source,title,author,year_approx,period,literary_movement,register,rhetorical_genre,discursive_structure,discourse_type,narrative_level,diegetic_mimetic,focalization,person,deictic_orientation,addressee_type,deictic_object,temporal_orientation,temporal_structure,tradition,mode,genre,stanza_structure,meter,rhyme,poem_id,length_lines,source_url,length_words
gold_standard,The Things That Cause a Quiet Life,Henry Howard Earl of Surrey,1547,Tudor,Renaissance,Meditative,Epideictic,Monologic,Description,,Mimetic,Zero,3rd,Impersonal,Unaddressed,The things/quiet life,Atemporal,Static,Translation (Martial),Lyric,,Couplets,Iambic pentameter,AABB,1,14.0,https://www.poetryfoundation.org/poems/45263/the-things-that-cause-a-quiet-life,16.0
gold_standard,On Mr. G. Herbert's Book,Richard Crashaw,1646,Interregnum,Metaphysical,Devotional,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Herbert's book,Present,Static,Original,Lyric,,Couplets,Iambic pentameter,AABB,10,18.0,https://www.poetryfoundation.org/poems/44626/on-mr-g-herberts-book,132.0
gold_standard,An Apology for Her Poetry,Margaret Cavendish,1653,Interregnum,,Defensive,Forensic,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Direct address,Poetry/critics,Present,Linear,Original,Lyric,,Couplets,Iambic tetrameter,AABB,11,18.0,https://www.poetryfoundation.org/poems/148964/an-apology-for-her-poetry,130.0
gold_standard,To His Coy Mistress,Andrew Marvell,1681,Restoration,Metaphysical,Argumentative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,The mistress,Present/Future,Linear,Original,Lyric,,Couplets,Iambic tetrameter,AABB,12,46.0,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress,304.0
gold_standard,Mac Flecknoe,John Dryden,1682,Restoration,Augustan,Satiric,Epideictic,Monologic,Narrative report,Extradiegetic,Diegetic,External,3rd,Third person,Direct address,Shadwell,Past,Linear,Original,Narrative,Satire,Couplets,Iambic pentameter,AABB,13,217.0,https://www.poetryfoundation.org/poems/44172/mac-flecknoe,1690.0
gold_standard,Eloisa to Abelard,Alexander Pope,1717,Neoclassical,Augustan,Passionate,Mixed,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,Abelard,Past/Present,Recursive,Imitation (Ovid),Dramatic,,Couplets,Iambic pentameter,AABB,14,366.0,https://www.poetryfoundation.org/poems/44892/eloisa-to-abelard,2753.0
gold_standard,Elegy Written in a Country Churchyard,Thomas Gray,1751,Neoclassical,Graveyard School,Meditative,Epideictic,Monologic,Commentary/Description,,Mixed,Internal/External,1st/3rd,Shifting,Self-address,The dead,Past/Present,Recursive,Original,Lyric,Elegy,Quatrains,Iambic pentameter,ABAB,15,128.0,https://www.poetryfoundation.org/poems/44299/elegy-written-in-a-country-churchyard,888.0
gold_standard,On Imagination,Phillis Wheatley,1773,Neoclassical,,Celebratory,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st,Apostrophic,Apostrophic address,Imagination,Present,Static,Original,Lyric,Ode,Couplets,Iambic pentameter,AABB,16,53.0,https://www.poetryfoundation.org/poems/45465/on-imagination,371.0
gold_standard,Lines Composed a Few Miles above Tintern Abbey,William Wordsworth,1798,Romantic,Romanticism,Meditative,Mixed,Monologic,Commentary,,Mixed,Internal,1st,Mixed,Mixed,Nature/sister,Past/Present,Recursive,Original,Lyric,,Blank verse,Iambic pentameter,Unrhymed,17,159.0,https://www.poetryfoundation.org/poems/45527/lines-composed-a-few-miles-above-tintern-abbey-on-revisiting-the-banks-of-the-wye-during-a-tour-july-13-1798,1052.0
gold_standard,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1798,Romantic,Romanticism,Gothic/didactic,Mixed,Monologic,Narrative report,Extradiegetic,Diegetic,External/Internal,3rd/1st,Mixed,Direct address,Wedding guest,Past,Linear,Original,Narrative,,Quatrains,Ballad meter,ABCB,18,625.0,https://www.poetryfoundation.org/poems/43997/the-rime-of-the-ancient-mariner-text-of-1834,4665.0
gold_standard,The Sick Rose,William Blake,1794,Romantic,Romanticism,Symbolic,Epideictic,Monologic,Direct discourse,,Mimetic,Internal,2nd,Apostrophic,Apostrophic address,Rose/worm,Present,Static,Original,Lyric,,Two quatrains,Mixed,ABAB,19,8.0,https://www.poetryfoundation.org/poems/43682/the-sick-rose,42.0
gold_standard,Whoso List to Hunt,Thomas Wyatt,1557,Tudor,Renaissance,Warning/Renunciative,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Direct address,The hind/Caesar,Past/Present,Recursive,Imitation (Petrarch),Lyric,,Sonnet (8+6),Iambic pentameter,ABBAABBA CDCDEE,2,14.0,https://www.poetryfoundation.org/poems/45536/whoso-list-to-hunt-i-know-where-is-an-hind,14.0
gold_standard,She Walks in Beauty,Lord Byron,1814,Romantic,Romanticism,Admiring,Epideictic,Monologic,Description,,Mimetic,External,3rd,Third person,Unaddressed,The woman,Present,Static,Original,Lyric,,Three sestets,Iambic tetrameter,ABABAB,20,18.0,https://www.poetryfoundation.org/poems/43844/she-walks-in-beauty,117.0
gold_standard,Ozymandias,Percy Bysshe Shelley,1818,Romantic,Romanticism,Ironic,Epideictic,Monologic,Narrative report,Intradiegetic,Mixed,Internal,1st,First person,Direct address,Statue,Past,Linear,Original,Lyric,,Sonnet,Iambic pentameter,ABABACDCEDEFEF,21,14.0,https://www.poetryfoundation.org/poems/46565/ozymandias,113.0
gold_standard,Ode on a Grecian Urn,John Keats,1819,Romantic,Romanticism,Meditative,Epideictic,Monologic,Commentary,,Mimetic,Internal,1st/2nd,Apostrophic,Apostrophic address,The urn,Atemporal,Recursive,Original,Lyric,Ode,Five 10-line stanzas,Iambic pentameter,ABABCDECDE,22,50.0,https://www.poetryfoundation.org/poems/44477/ode-on-a-grecian-urn,372.0
gold_standard,Ulysses,Alfred Tennyson,1833,Victorian,,Restless,Deliberative,Monologic,Direct discourse,,Mimetic,Internal,1st,First person,Triangulated address,Self/mariners,Present/Future,Linear,Original,Dramatic,,Blank verse,Iambic pentameter,Unrhymed,23,70.0,https://www.poetryfoundation.org/poems/45392/ulysses,565.0
gold_standard,My Last Duchess,Robert Browning,1842,Victorian,,Controlling,Forensic,Monologic,Direct discourse,,Mimetic,Internal,1st,Second person,Triangulated address,Portrait/Duchess,Past/Present,Linear,Original,Dramatic,,Couplets,Iambic pentameter,AABB,24,57.0,https://www.poetryfoundation.org/poems/43768/my-last-duchess,447.0
