poem_id,title,author,source,source_edition,source_page,length_lines,length_words,collected,filename,source_url
1,The Things That Cause a Quiet Life,Henry Howard Earl of Surrey,Poetry Foundation,,,14,16.0,True,001_the_things_that_cause_a_quiet_life.txt,https://www.poetryfoundation.org/poems/45263/the-things-that-cause-a-quiet-life
2,Whoso List to Hunt,Thomas Wyatt,Poetry Foundation,,,14,14.0,True,002_whoso_list_to_hunt.txt,https://www.poetryfoundation.org/poems/45536/whoso-list-to-hunt-i-know-where-is-an-hind
3,Astrophil and Stella 39: Come Sleep! O Sleep,Philip Sidney,Poetry Foundation,,,14,14.0,True,003_come_sleep_o_sleep.txt,https://www.poetryfoundation.org/poems/45153/astrophil-and-stella-39-come-sleep-o-sleep-the-certain-knot-of-peace
4,Epithalamion,Edmund Spenser,Poetry Foundation,,,433,2597.0,True,004_epithalamion.txt,https://www.poetryfoundation.org/poems/45189/epithalamion
5,The Passionate Shepherd to his Love,Christopher Marlowe,Poetry Foundation,,,24,168.0,True,005_the_passionate_shepherd_to_his_love.txt,https://www.poetryfoundation.org/poems/44691/the-passionate-shepherd-to-his-love
6,Shall I Compare Thee to a Summer's Day,William Shakespeare,Poetry Foundation,,,14,118.0,True,006_shall_i_compare_thee_to_a_summers_day.txt,https://www.poetryfoundation.org/poems/45087/sonnet-18-shall-i-compare-thee-to-a-summers-day
7,The Description of Cooke-ham,Aemilia Lanyer,Poetry Foundation,,,210,1525.0,True,007_the_description_of_cooke_ham.txt,https://www.poetryfoundation.org/poems/50338/the-description-of-cooke-ham
8,The Good Morrow,John Donne,Poetry Foundation,,,21,163.0,True,008_the_good_morrow.txt,https://www.poetryfoundation.org/poems/44097/the-good-morrow
9,Lycidas,John Milton,Poetry Foundation,,,193,1416.0,True,009_lycidas.txt,https://www.poetryfoundation.org/poems/44733/lycidas
10,On Mr. G. Herbert's Book,Richard Crashaw,Poetry Foundation,,,18,132.0,True,010_on_mr_g_herberts_book.txt,https://www.poetryfoundation.org/poems/44626/on-mr-g-herberts-book
11,An Apology for Her Poetry,Margaret Cavendish,Poetry Foundation,,,18,130.0,True,011_an_apology_for_her_poetry.txt,https://www.poetryfoundation.org/poems/148964/an-apology-for-her-poetry
12,To His Coy Mistress,Andrew Marvell,Poetry Foundation,,,46,304.0,True,012_to_his_coy_mistress.txt,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress
13,Mac Flecknoe,John Dryden,Poetry Foundation,,,217,1690.0,True,013_mac_flecknoe.txt,https://www.poetryfoundation.org/poems/44172/mac-flecknoe
14,Eloisa to Abelard,Alexander Pope,Poetry Foundation,,,366,2753.0,True,014_eloisa_to_abelard.txt,https://www.poetryfoundation.org/poems/44892/eloisa-to-abelard
