OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Abd_Alhadi_Automatic Identification of Rhetorical Elements in classical Arabic Poetry.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Rebora_Sentiment Analysis in Literary Studies_A Critical Survey.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/McGillivray_Digital Humanities and Natural Language Processing.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Kaplan, Blei_A Computational Approach to Style in American Poetry.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/stoltz-et-al-2024-a-tool-kit-for-relation-induction-in-text-analysis.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Cayley_Computational art Explorations of Linguistic Possibility Spaces- comparative translingual close readings of Daniel C. Howe’s Automatype and Radical of the Vertical Heart.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Hartzel et al_Machine learning in computational literary studies.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/de la Rosa, Perez_Transformers analyzing poetry_multilingual metrical pattern prediction with transformer-based language models.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/De Sisto_Hernandez-Lorenzo et al_Understanding poetry using natural language processing tools.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Slow, Painful and Expensive- Current Challenges in Text-Mining Corpus Construction for the Digital Humanities.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Sobchuk, Sela_Computational thematics_comparing algorithms for clustering the genres of literary fiction.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Zahra and Zaidvi_Minimal Computing for Exploring Indian Poetics.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Boyd_Poetry as Code as Interactive Fiction- Engaging Multiple Text-Based Literacies in Scarlet Portrait Parlor.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Bingeheimer, Brody, Nichols_Experiments in Distant Reading- Using Topic Modeling on Chinese Buddhist Texts from 500-800 CE.pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Stoltz, Taylor_Cultural cartography with word embeddings .pdf
OK  | 2025-10-31 12:41:20 | /Users/justin/Repos/AI Project/Reading/Haider et al_PO-EMO-Conceptualization, Annotation, and Modeling of Aesthetic Emotions in German and English Poetry.pdf
