sonnet,overall_tortuosity_eebo,mean_line_tortuosity_eebo,max_line_tortuosity,couplet_tortuosity_eebo,num_lines,overall_tortuosity_poetry,mean_line_tortuosity_poetry,couplet_tortuosity_poetry,abs_diff
1,2.983138957024163,7.092819,8.170003,6.662486,14,3.5825218712019815,6.8220906,5.961108,0.5993829141778186
2,3.482859285159383,7.0768924,8.18315,6.726212,14,3.5635330480578955,6.688509,6.319064,0.08067376289851236
3,3.43408845357041,7.19122,8.984141,6.5215898,14,3.6246603179218275,6.938687,6.0164986,0.19057186435141737
4,2.860222690561666,7.1963625,8.198839,7.0591254,14,3.650413723996909,6.452952,6.440486,0.7901910334352431
5,3.6257873600009924,7.183486,8.592321,5.116571,14,3.601382477620528,6.977429,5.817224,0.024404882380464343
6,3.7928191907070365,7.147008,9.285089,7.898502,14,4.184633257776834,7.008349,7.142511,0.3918140670697978
7,3.666950463720229,7.4967504,9.410005,5.448643,14,3.4001695049229554,6.6999216,5.9876976,0.26678095879727337
8,3.816995128492856,7.5806284,9.22229,6.252319,14,3.737947447084854,6.8882833,7.0710926,0.07904768140800167
9,3.5410251644121185,7.2609034,8.814792,6.6218014,14,3.6769041306605352,6.818294,7.3294625,0.13587896624841678
10,3.522518015619184,6.74531,7.4658217,6.5372887,14,3.9505845946443756,6.555666,6.1773577,0.42806657902519163
11,4.227366760270065,6.970011,8.601309,6.6794314,14,3.710045350929402,6.6057615,6.634962,0.5173214093406626
12,3.038673732690458,7.514668,9.883878,6.5904136,14,3.0052049122325317,6.937629,6.2642417,0.033468820457926096
13,3.677595198971442,7.3860455,8.293235,6.5940037,14,3.8081491940794368,6.8178515,6.0748777,0.1305539951079946
14,3.523848687997682,7.3637385,8.066602,6.9187274,14,3.3348736537513526,6.8525314,7.511127,0.18897503424632944
15,3.040457104277722,7.56662,8.5788965,7.335143,14,3.5483405426408785,7.0385637,6.144036,0.5078834383631565
16,3.0335715261548932,7.7447104,9.440583,6.66524,14,3.458547495087832,7.090587,6.068301,0.42497596893293865
17,3.303479482956861,7.218055,8.968871,7.9025254,14,3.6845459020240474,7.0491543,6.886624,0.3810664190671864
18,3.247456538734965,7.219154,8.756528,7.1159015,14,3.424557905103666,6.869801,6.491029,0.17710136636870066
19,3.2163231354568524,7.2296886,9.119104,7.16761,14,3.1945388733142317,7.394689,7.2770004,0.021784262142620747
20,2.9330038519648767,7.4706826,8.115183,6.8298035,14,3.5972493834036667,6.8455944,5.975674,0.6642455314387901
