sonnet,semantic_only_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,words_analyzed
1,49.95437134821921,46.17218415969055,-3.7821871885286598,-7.571283726431057,97
2,53.29734103679136,49.34592296696481,-3.951418069826552,-7.413912200796045,105
3,62.20443269730279,56.61490559569306,-5.5895271016097325,-8.98573760620776,111
4,43.3945826983968,40.943015438275246,-2.451567260121557,-5.649477671350275,98
5,49.218786296164815,45.59640194657861,-3.6223843495862056,-7.359759600306247,99
18,67.81452944341362,60.09467466218281,-7.719854781230808,-11.383776964304495,106
29,62.541180127334925,56.42643099202672,-6.114749135308209,-9.777156623617389,107
40,51.99917902350162,48.8047840479514,-3.1943949755502175,-6.143164249009536,117
51,82.16371772209324,71.93144500833,-10.232272713763237,-12.453517194015493,114
62,43.58771811953216,41.06029197393848,-2.5274261455936795,-5.798482358408,102
73,69.58827768760517,62.00798806346245,-7.580289624142722,-10.893055376613951,112
84,60.8683119722408,55.82068416645591,-5.0476278057848845,-8.292702133890081,115
95,45.15271468921452,42.942239460425554,-2.2104752287889653,-4.895553332736767,110
106,55.390308254838864,51.12693283684732,-4.263375417991547,-7.696970015723105,108
117,51.60890315797456,48.119975061871,-3.4889280961035567,-6.76032212004965,108
127,81.43534616299029,68.61700083439119,-12.818345328599094,-15.740518009149957,103
128,45.86919548734037,43.185679812649106,-2.6835156746912645,-5.850365689173465,106
129,53.334427595775026,49.261739001181816,-4.07268859459321,-7.636134441078794,106
130,59.155354559932384,54.985858042698574,-4.16949651723381,-7.048383951463845,121
131,54.28101293301456,50.647141586230255,-3.6338713467843036,-6.694553307744422,116
