sonnet,overall_tortuosity,mean_line_tortuosity,max_line_tortuosity,couplet_tortuosity,num_lines
1,2.983138957024163,7.092819,8.170003,6.662486,14
2,3.482859285159383,7.0768924,8.18315,6.726212,14
3,3.43408845357041,7.19122,8.984141,6.5215898,14
4,2.860222690561666,7.1963625,8.198839,7.0591254,14
5,3.6257873600009924,7.183486,8.592321,5.116571,14
6,3.7928191907070365,7.147008,9.285089,7.898502,14
7,3.666950463720229,7.4967504,9.410005,5.448643,14
8,3.816995128492856,7.5806284,9.22229,6.252319,14
9,3.5410251644121185,7.2609034,8.814792,6.6218014,14
10,3.522518015619184,6.74531,7.4658217,6.5372887,14
11,4.227366760270065,6.970011,8.601309,6.6794314,14
12,3.038673732690458,7.514668,9.883878,6.5904136,14
13,3.677595198971442,7.3860455,8.293235,6.5940037,14
14,3.523848687997682,7.3637385,8.066602,6.9187274,14
15,3.040457104277722,7.56662,8.5788965,7.335143,14
16,3.0335715261548932,7.7447104,9.440583,6.66524,14
17,3.303479482956861,7.218055,8.968871,7.9025254,14
18,3.247456538734965,7.219154,8.756528,7.1159015,14
19,3.2163231354568524,7.2296886,9.119104,7.16761,14
20,2.9330038519648767,7.4706826,8.115183,6.8298035,14
21,3.5593668870544413,6.919854,8.033962,6.5916142,14
22,3.4019392059610767,7.297852,8.408345,5.6736135,14
23,3.1786797341789303,7.239344,8.393997,5.95749,14
24,3.7151983720981527,6.760565,7.5596414,5.7381973,14
25,2.973444325047207,6.724911,8.090744,6.1398535,14
26,3.43065923093208,7.2638974,8.5216675,6.9327645,14
27,3.3100192745581145,7.4788623,8.21628,6.6749406,14
28,2.933511572156032,6.6910152,8.83252,4.8765984,14
29,3.766988023566852,7.3427176,8.510626,6.6753297,14
30,3.4717013714166263,6.950918,7.7862606,7.4289474,14
31,3.139270876788118,7.322477,9.387251,6.722051,14
32,3.0093978098528043,7.6402264,8.94333,6.3307257,14
33,3.186915943094644,7.459077,8.740435,7.1301174,14
34,3.0922900355564344,7.1380253,8.029352,6.640873,14
35,3.2321816867226096,7.492263,9.517288,9.005002,14
36,3.1792964226632683,7.3242254,9.487613,7.107219,14
37,3.0440213722660965,7.33027,9.111858,6.4854255,14
38,3.1711973303772476,7.4159613,9.07419,7.692348,14
39,3.2948187584576254,7.4203415,8.616411,7.3621106,14
40,3.295563136922131,6.6987805,8.756769,7.428964,14
41,2.738301512612235,7.195246,9.089399,5.454353,14
42,3.453334342546995,7.093026,8.258958,6.824557,14
43,3.9310756626497865,6.669431,7.5383353,5.020968,14
44,3.5793565063096056,7.49936,8.703472,7.1419168,14
45,3.1214995351013837,7.6726413,8.93032,6.7366242,14
46,3.470242300359952,7.3722873,9.026567,5.2420588,14
47,3.526240407260005,6.603711,8.1595125,6.8745055,14
48,2.772013895598288,7.789978,9.734902,6.2720914,14
49,3.174093885851339,7.5491605,9.139631,6.099421,14
50,3.3652163988462123,7.276778,8.49513,7.0491366,14
51,3.584831149074388,6.6631885,7.5072765,6.7672076,14
52,4.018228763448465,7.6465063,9.112503,6.9268785,14
53,3.2777182408518613,7.038847,7.9731374,6.879438,14
54,3.5071932550934504,7.297432,8.87193,7.8122783,14
55,3.177407263424869,7.8209286,9.86983,7.4423065,14
56,3.569316895703391,7.124145,8.76721,7.138891,14
57,3.6795406472092207,7.7851553,9.842671,6.8356056,14
58,3.462543534227002,7.261197,8.984397,7.030306,14
59,3.082062788928618,7.7884693,8.506818,6.895025,14
60,3.225270842179601,6.8118815,8.215135,6.2088995,14
61,3.2641985002867813,7.325503,8.424817,8.158562,14
62,3.4835430352455488,7.560686,8.847491,6.829844,14
63,3.543977702377907,7.447486,9.182977,7.1364775,14
64,3.781408999204321,7.3053923,8.663332,6.823179,14
65,2.902107625061197,6.910991,8.175026,8.175026,14
66,4.000769439438621,6.652055,7.986074,6.0450425,14
67,3.6938400641918947,6.995577,8.01253,8.01253,14
68,3.952775824756491,7.251083,8.212022,6.415776,14
69,3.567099446090443,6.9699206,8.1335945,6.675067,14
70,3.8672436272433455,7.309983,8.590625,6.7856264,14
71,3.6182989234240983,7.5627337,9.692836,8.023972,14
72,4.000877297310271,7.5527964,8.244572,8.244572,14
73,3.859784986776733,7.0402837,7.842382,6.25593,14
74,3.304758715590597,7.735936,9.000001,8.286936,14
75,3.089236934353359,7.805758,9.368167,8.651287,14
76,3.510994323945711,8.112909,9.546206,7.438962,14
77,3.900932290477253,6.8670316,7.6558743,7.0311546,14
78,3.4794662151767466,7.3998237,9.379015,8.010695,14
79,3.5159552043307056,6.68839,8.946974,6.078294,14
80,3.531754562009139,7.535358,8.8310795,7.199694,14
81,3.133352493237546,7.1578393,8.623097,7.6443534,14
82,4.011165463453469,7.702088,8.547786,5.3385696,14
83,3.9606263897582665,7.393475,8.251695,7.556199,14
84,3.255617394075737,6.983126,7.8229375,5.9622536,14
85,3.659242152114203,7.4519753,8.773986,6.627275,14
86,3.562626477271537,7.425014,7.9260836,5.8204494,14
87,3.0909371956725784,6.5124736,7.8204584,7.4001904,14
88,3.7378153386629815,7.8110986,9.559089,6.8982654,14
89,4.562864922482545,7.345761,8.456003,7.000333,14
90,3.620281176866671,7.802375,9.606542,6.888122,14
91,3.0308773886878417,6.777766,7.41979,6.1148467,14
92,3.8591332574491646,7.2113953,7.995253,6.7607493,14
93,3.585475151033407,6.940163,8.040119,6.6162667,14
94,3.295109105361972,7.3737736,8.704171,7.117757,14
95,3.1543809360175055,7.560646,8.909347,7.511729,14
96,3.6276343545579777,7.170686,8.560729,7.35319,14
97,3.6013153824828006,6.8457694,7.8100367,6.726008,14
98,3.2001854191477688,7.6367397,9.353149,7.672213,14
99,3.8788290124515337,6.7794538,7.7424297,6.2935286,15
100,4.035818720692522,7.071905,8.264521,7.05001,14
101,3.5859220980790947,7.064548,8.214536,8.033393,14
102,3.6890054384713333,7.063484,8.266517,6.992641,14
103,2.69226345538748,7.5636945,9.020085,8.765762,14
104,3.995697030516949,6.841255,7.989349,6.2722087,14
105,3.1336861052305784,7.0873494,7.8632298,7.232549,14
106,3.0724327633359234,7.7300143,8.772259,7.843612,14
107,3.408011820377304,7.3724513,9.483377,8.518098,14
108,3.8700308832826495,6.897738,8.02777,6.925324,14
109,3.4434372833890787,7.0971155,7.8835263,7.660575,14
110,2.633465193535855,7.3203506,8.492079,8.492079,14
111,3.5892209827403887,7.2239695,8.17675,7.418569,14
112,3.131378137053505,7.443296,8.666847,8.666847,14
113,3.2919822555803284,7.1443033,8.482379,7.949856,14
114,3.960121344013149,7.214474,8.1937685,7.069209,14
115,3.3020581123365216,7.473607,8.8937025,7.6296453,14
116,3.437881606642085,7.4166646,8.821834,6.130988,14
117,2.659409952654396,7.680975,9.257855,8.354675,14
118,3.5934376394492262,6.976861,7.762471,7.762471,14
119,3.659114518307742,7.545448,9.285258,6.9373307,14
120,3.0307461321523745,7.1422586,7.643549,7.0284867,14
121,3.8715581716869627,6.713029,7.503473,7.464211,14
122,3.511162626667749,7.6002984,9.102194,7.1411386,14
123,3.7933215211507734,8.0399,8.9919195,7.907933,14
124,3.1279144958520324,7.627376,9.003494,6.591207,14
125,4.247964712891478,7.0440974,9.766038,6.0672355,14
126,2.8891869916231787,6.984164,7.631394,7.2203255,12
127,3.312827297624784,7.281901,8.524531,7.7073193,14
128,3.8018568505977233,7.31202,8.371588,7.076775,14
129,3.3299032626454386,7.0635076,8.500592,7.961904,14
130,3.462534424950717,7.0571523,8.062832,6.3900614,14
131,3.216852047815078,7.710561,9.161309,8.426608,14
132,4.127642335532929,7.179313,8.159026,6.749164,14
133,3.0923085474747265,6.592683,7.537568,6.6389055,14
134,3.5478239975318746,6.805801,7.938959,7.621904,14
135,3.7279667455721133,6.716322,7.4416413,6.538478,14
136,4.0715715012169085,6.424119,7.4452734,5.4392076,14
137,3.261211399512552,7.187293,8.362629,6.448121,14
138,3.252308384904269,7.2799616,8.569997,8.569997,14
139,3.8757386278469492,7.3026524,8.020286,7.358347,14
140,3.750711021521745,7.739166,8.803849,7.3104415,14
141,3.5876947440391507,7.152759,8.639817,7.5892515,14
142,4.106628895085082,6.8099756,7.957286,6.866411,14
143,3.2151945706126663,7.3098884,8.6839485,6.244676,14
144,3.015703531263176,7.103101,7.7353716,7.0739355,14
145,3.175854831848517,7.5577955,9.381333,6.070592,14
146,3.194457109537774,7.03095,8.302573,6.8751774,14
147,3.009519319989084,7.3897243,8.487163,7.891496,14
148,3.7110964319870914,7.1939793,8.867502,5.9946647,14
149,4.188190357755771,6.7986503,8.137583,5.501561,14
150,3.0796881545792445,7.2346067,8.1327715,5.6075864,14
151,2.982543988765761,6.8932896,7.9097314,7.376278,14
152,3.4527258289970324,6.6451893,7.728888,7.728888,14
153,3.7696278375186014,6.7442937,8.017676,5.900465,14
154,3.0441052426653186,7.458283,9.3884535,9.3884535,15
