sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,mean_line_tortuosity,couplet_tortuosity,avg_metrical_deviation,num_rhyme_pairs,num_lines
1,3.427029821108648,3.337201219036687,-0.08982860207196097,-2.621179469132875,8.137605,6.9822106,2.4285714285714284,4,14
2,3.2850514069340684,3.2054266639876947,-0.07962474294637367,-2.4238507433491665,7.3888645,6.0241156,1.7857142857142858,3,14
3,3.8423097151584247,3.7236778624555176,-0.1186318527029071,-3.08751406048525,8.202346,6.7691636,2.5,4,14
4,2.958350907450207,2.899500100032866,-0.05885080741734061,-1.9893112500323342,7.663615,8.387648,2.7857142857142856,4,14
5,3.7778624270745085,3.6999435117380726,-0.07791891533643591,-2.062513308531845,8.030031,7.5594873,2.2857142857142856,4,14
6,3.7274450249041626,3.606677588718898,-0.12076743618526464,-3.23995217577675,7.8408966,7.959123,2.5,3,14
7,2.957245835986461,2.8911452136602485,-0.06610062232621239,-2.2352089069444214,8.46807,6.47545,1.5714285714285714,3,14
8,3.852090812950061,3.719041115081192,-0.1330496978688691,-3.453960571790756,8.131137,7.1619897,3.7857142857142856,5,14
9,3.2232401455001414,3.1468607496978254,-0.07637939580231601,-2.3696464537073587,8.04543,7.9010334,2.2857142857142856,6,14
10,3.7866361883677686,3.6666897500427935,-0.11994643832497509,-3.167625099380832,6.9436846,6.6246376,3.5,6,14
11,3.5588514651170557,3.459873293114114,-0.0989781720029419,-2.781183001681874,7.7548695,8.165071,3.0714285714285716,5,14
12,2.470918147295031,2.453509990945238,-0.017408156349793202,-0.7045217733679401,8.701122,7.3921676,1.8571428571428572,4,14
13,3.164638321394973,3.088785235558344,-0.07585308583662886,-2.3968958892968475,8.038549,8.383421,2.5714285714285716,4,14
14,3.056011591098887,2.9903551620423787,-0.06565642905650826,-2.1484352103814954,7.9175744,8.062258,1.5714285714285714,4,14
15,2.6732877352998763,2.6304954847557505,-0.04279225054412583,-1.600734929467875,8.027097,8.489073,2.2857142857142856,4,14
16,2.584507035568892,2.546118567372641,-0.03838846819625097,-1.4853303809173435,8.73393,7.271604,2.7857142857142856,2,14
17,3.5255793478070703,3.4639432696203145,-0.06163607818675576,-1.7482538926572093,7.9774923,8.335302,3.0,2,14
18,3.055665794716908,3.011092748617639,-0.04457304609926904,-1.458701608544154,8.025763,7.950927,1.5714285714285714,5,14
19,3.2026304678203434,3.1234768176237804,-0.07915365019656306,-2.4715199268816583,8.126136,7.687069,2.9285714285714284,4,14
20,2.7135929257012004,2.6809055331376372,-0.03268739256356312,-1.2045798120260285,8.293928,8.189172,2.642857142857143,7,14
21,3.4684263609423502,3.402447065100575,-0.06597929584177509,-1.9022833116701636,7.906792,8.419119,3.0714285714285716,6,14
22,3.253074744369598,3.1997881757297257,-0.05328656863987247,-1.638037021193581,8.007499,6.2498903,2.9285714285714284,6,14
23,2.984365806306504,2.917899638579741,-0.06646616772676328,-2.2271454654221094,8.317748,7.7402596,3.7857142857142856,2,14
24,3.37062681987157,3.285141745230684,-0.08548507464088573,-2.5361773702418633,7.59023,6.452742,1.9285714285714286,3,14
25,2.7483441382057343,2.7128335207854137,-0.03551061742032058,-1.29207317696043,7.9033556,8.108341,2.9285714285714284,3,14
26,3.1449114346984386,3.074958600897173,-0.0699528338012656,-2.224318085064716,8.25055,7.3474674,2.2142857142857144,5,14
27,3.0119126005621557,2.954179800746897,-0.057732799815258584,-1.9168152423972427,8.332186,7.126182,1.6428571428571428,3,14
28,2.696300864257187,2.6631811640644765,-0.0331197001927106,-1.2283384481217698,7.5157166,6.3156524,1.5714285714285714,4,14
29,2.8784916129862523,2.8219981663875977,-0.05649344659865463,-1.9626059128949924,8.393444,8.637219,2.4285714285714284,5,14
30,3.4969064645791246,3.430593528102247,-0.06631293647687775,-1.8963314331845857,8.423528,9.369475,3.0714285714285716,3,14
31,3.4579143758412414,3.369756308002111,-0.08815806783913027,-2.549457801935399,8.509371,7.000568,2.642857142857143,4,14
32,2.443428245395372,2.4205390842297403,-0.022889161165631666,-0.9367642045051323,8.170671,8.710636,2.5714285714285716,3,14
