sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,avg_metrical_deviation,num_rhyme_pairs,num_lines
1,2.983138957024163,2.920875101694342,-0.06226385532982093,-2.087192592326721,2.4285714285714284,4,14
2,3.482859285159383,3.390033751441718,-0.09282553371766511,-2.6652105674552744,1.7857142857142858,3,14
3,3.43408845357041,3.345305814616849,-0.08878263895356131,-2.585333492538735,2.5,4,14
4,2.860222690561666,2.805886472321044,-0.054336218240621736,-1.8997198511823448,2.7857142857142856,4,14
5,3.6257873600009924,3.5547825284581336,-0.07100483154285886,-1.9583286192171905,2.2857142857142856,4,14
6,3.7928191907070365,3.6654827376349237,-0.12733645307211283,-3.357303543077029,2.5,3,14
7,3.666950463720229,3.5456231151240285,-0.12132734859620031,-3.3086716004641676,1.5714285714285714,3,14
8,3.816995128492856,3.6902153680734457,-0.12677976041941008,-3.3214546037282786,3.7857142857142856,5,14
9,3.5410251644121185,3.4424552881924497,-0.09856987621966873,-2.7836536495225195,2.2857142857142856,6,14
10,3.522518015619184,3.421901016644387,-0.10061699897479714,-2.8563941626033333,3.5,6,14
11,4.227366760270065,4.0619643592019505,-0.1654024010681141,-3.9126579369126566,3.0714285714285716,5,14
12,3.038673732690458,3.0053302234856827,-0.033343509204775135,-1.0973046841476006,1.8571428571428572,4,14
13,3.677595198971442,3.5600259552652096,-0.11756924370623256,-3.1969055142097904,2.5714285714285716,4,14
14,3.523848687997682,3.425361676314039,-0.09848701168364293,-2.794870620270734,1.5714285714285714,4,14
15,3.040457104277722,2.9774138876501657,-0.0630432166275563,-2.0734782457170224,2.2857142857142856,4,14
16,3.0335715261548932,2.972155344923894,-0.06141618123099901,-2.024550293325212,2.7857142857142856,2,14
17,3.303479482956861,3.2544044938490613,-0.04907498910779973,-1.485554530033707,3.0,2,14
18,3.247456538734965,3.191893958556266,-0.05556258017869942,-1.7109568524154481,1.5714285714285714,5,14
19,3.2163231354568524,3.1351160856654037,-0.08120704979144877,-2.524841142241573,2.9285714285714284,4,14
20,2.9330038519648767,2.892209020828231,-0.040794831136645726,-1.3908891087652842,2.642857142857143,7,14
21,3.5593668870544413,3.4854133833537673,-0.073953503700674,-2.0777151119106554,3.0714285714285716,6,14
22,3.4019392059610767,3.339078950958628,-0.06286025500244863,-1.8477771411170785,2.9285714285714284,6,14
23,3.1786797341789303,3.0965441493417125,-0.08213558483721783,-2.583952826516317,3.7857142857142856,2,14
24,3.7151983720981527,3.5980261859752924,-0.11717218612286029,-3.1538608275360405,1.9285714285714286,3,14
25,2.973444325047207,2.927722352083904,-0.04572197296330316,-1.537677116674356,2.9285714285714284,3,14
26,3.43065923093208,3.338657381138472,-0.09200184979360815,-2.6817542518967135,2.2142857142857144,5,14
27,3.3100192745581145,3.2347289799952077,-0.07529029456290681,-2.2746180102820706,1.6428571428571428,3,14
28,2.933511572156032,2.891800084166147,-0.04171148798988522,-1.4218961461000368,1.5714285714285714,4,14
29,3.766988023566852,3.6438952288371267,-0.12309279472972534,-3.2676715179246134,2.4285714285714284,5,14
30,3.4717013714166263,3.407124504858707,-0.06457686655791939,-1.8600927801451086,3.0714285714285716,3,14
31,3.139270876788118,3.0731160702726066,-0.06615480651551131,-2.107330304137255,2.642857142857143,4,14
32,3.0093978098528043,2.966630230219937,-0.04276757963286704,-1.4211341382932317,2.5714285714285716,3,14
33,3.186915943094644,3.141124732254522,-0.045791210840122165,-1.4368502859117382,3.7142857142857144,5,14
34,3.0922900355564344,3.020533852604356,-0.07175618295207853,-2.320486827787696,2.2857142857142856,5,14
35,3.2321816867226096,3.182353333473816,-0.04982835324879353,-1.5416321877412418,3.5,2,14
36,3.1792964226632683,3.1280770273661744,-0.05121939529709385,-1.6110292494899807,3.2142857142857144,5,14
37,3.0440213722660965,3.011077085888551,-0.03294428637754532,-1.082261993220508,2.5,3,14
38,3.1711973303772476,3.099321942045197,-0.07187538833205043,-2.2665063332246214,3.2857142857142856,5,14
39,3.2948187584576254,3.2304446887627405,-0.0643740696948849,-1.9537969889736748,3.7142857142857144,5,14
40,3.295563136922131,3.2149275709320984,-0.08063556599003263,-2.446791720863272,3.357142857142857,5,14
41,2.738301512612235,2.697305188232792,-0.040996324379443116,-1.497144276867239,2.2142857142857144,4,14
