sonnet,overall_tortuosity,mean_line_tortuosity,max_line_tortuosity,couplet_tortuosity,num_lines
1,3.5825218712019815,6.8220906,7.862213,5.961108,14
2,3.5635330480578955,6.688509,8.223547,6.319064,14
3,3.6246603179218275,6.938687,8.1547165,6.0164986,14
4,3.650413723996909,6.452952,7.283967,6.440486,14
5,3.601382477620528,6.977429,7.9989586,5.817224,14
6,4.184633257776834,7.008349,8.745096,7.142511,14
7,3.4001695049229554,6.6999216,8.4994955,5.9876976,14
8,3.737947447084854,6.8882833,8.329497,7.0710926,14
9,3.6769041306605352,6.818294,8.219346,7.3294625,14
10,3.9505845946443756,6.555666,7.5201793,6.1773577,14
11,3.710045350929402,6.6057615,7.563451,6.634962,14
12,3.0052049122325317,6.937629,7.667629,6.2642417,14
13,3.8081491940794368,6.8178515,9.022977,6.0748777,14
14,3.3348736537513526,6.8525314,7.511127,7.511127,14
15,3.5483405426408785,7.0385637,8.667599,6.144036,14
16,3.458547495087832,7.090587,8.196469,6.068301,14
17,3.6845459020240474,7.0491543,7.877612,6.886624,14
18,3.424557905103666,6.869801,8.451222,6.491029,14
19,3.1945388733142317,7.394689,9.124158,7.2770004,14
20,3.5972493834036667,6.8455944,7.484281,5.975674,14
21,3.7801617968868095,6.779759,7.7563424,6.4742246,14
22,3.5392936641506663,6.6323543,8.237038,5.6933503,14
23,3.2267537387839926,6.898328,7.632999,6.8163977,14
24,3.35034796816369,6.3814597,7.4661775,5.686516,14
25,3.4789414802960064,6.80877,7.706705,5.656712,14
26,3.652195348313079,6.588905,7.1695833,6.3140717,14
27,3.6827269630476227,6.809692,7.87037,5.95386,14
28,3.269172466525201,6.2742453,7.313034,4.9211345,14
29,3.8439318082649487,6.7085195,8.385878,7.0272713,14
30,3.3732620324218203,6.720093,7.509386,7.3493,14
31,3.6971014162558524,6.8147783,7.9024334,6.430845,14
32,3.410977441812875,7.013358,8.087544,6.8038497,14
33,3.2323606411371113,7.0358524,8.483587,6.891782,14
34,3.3211743247848946,6.775626,7.403582,6.9608297,14
35,3.591911122976042,6.83464,8.543203,8.063017,14
36,3.2328339755326723,6.6667204,7.9363394,6.615339,14
37,3.1494187611906126,6.847266,7.644963,6.3461366,14
38,3.702255005738287,7.224465,8.043263,7.5321655,14
39,3.569260729797563,6.8175945,7.8167334,6.5158596,14
40,3.537589526771345,6.4875216,7.6264424,7.0859275,14
41,3.3460139497535155,6.736051,7.84508,4.614468,14
42,4.15261433860669,6.923034,8.45739,6.6535964,14
43,3.9371004785901205,6.348243,6.9584665,5.085782,14
44,3.5487653364935,7.1546583,8.292732,7.593657,14
45,3.315820237033309,7.0272717,8.225317,6.4610567,14
46,4.57289051036397,6.8788457,8.603545,5.2227383,14
47,4.176550442072958,6.3932095,7.330456,7.2519245,14
48,2.859617216291096,7.0631537,8.587223,6.5886908,14
49,3.1059352676135146,6.844291,8.323677,6.445175,14
50,3.3973041929801484,6.849577,8.154789,6.488445,14
51,3.4072531547665252,6.449692,7.0580587,6.6807976,14
52,3.8016130966245907,6.7666006,7.818842,6.6533713,14
53,3.4436213135906186,6.5811925,8.039327,6.329689,14
54,3.2599343910716057,6.8860703,7.597505,7.364537,14
55,3.2008294290594685,7.3864894,8.188363,7.604353,14
56,3.4418969358567377,7.0610538,8.069777,6.6758614,14
57,3.9564984736102358,7.185691,8.751261,6.38128,14
58,3.6184023117735165,6.7118297,8.646015,6.3420067,14
59,3.044694616553453,7.461795,8.056215,6.8589816,14
60,3.253769445109444,6.533808,7.794834,6.149097,14
61,3.1631099223967167,6.8142886,7.98915,7.025889,14
62,3.57540770164899,7.2010093,8.358713,7.65739,14
63,3.430437493463947,7.3544645,8.9297905,6.519808,14
64,3.1714766956929066,6.8863244,7.644369,6.353412,14
65,3.1813173146491565,6.778205,7.678571,7.510941,14
66,3.955599845432226,6.309328,8.03986,6.410945,14
67,3.559414256629004,7.032324,8.043057,7.6316333,14
68,4.341682549461291,6.6297255,8.103872,6.979419,14
69,3.2804145673775382,6.9171076,8.224222,6.0800977,14
70,4.179325472684787,6.7907467,7.9882903,6.642204,14
71,3.7780005929948657,7.0848894,9.055481,7.2362947,14
72,3.7421788231406308,7.0158124,7.699595,7.560463,14
73,3.928636264603353,6.631055,7.6557193,5.697837,14
74,3.1435223447193867,6.833054,7.560975,6.9922814,14
75,4.128175339500967,7.2955008,8.118387,7.3068423,14
76,3.8395786804025565,6.901379,8.117668,6.4331355,14
77,4.220671839010442,6.5831304,7.2339454,6.6560297,14
78,3.6016008769895316,6.998438,8.057963,6.8984613,14
79,3.5056859315110254,6.4704685,7.919921,6.3645477,14
80,3.526878538285329,6.9078135,7.7093363,6.802809,14
81,3.375226089797174,6.7172666,7.5901537,7.5204487,14
82,3.9985295507016447,7.3308115,8.272607,5.534147,14
83,3.6716659787143064,6.846624,7.5615783,7.3917103,14
84,3.690170186250612,6.4530873,7.3052816,6.10379,14
85,3.9469780950665436,6.793963,8.621955,5.1550326,14
86,3.8736648833470206,6.943959,7.50922,6.0939317,14
87,3.4703325446924946,6.408753,7.7824087,7.083224,14
88,3.8287227387012255,6.808836,7.79022,6.1123023,14
89,4.02223857473289,6.798609,7.425206,6.448501,14
90,4.085846339974078,6.836198,7.7616405,6.008606,14
91,3.0392542521618853,6.228534,7.488697,5.28493,14
92,3.8148793338730442,6.899046,7.7214537,6.919305,14
93,3.6305137233236744,6.866128,8.595215,6.9461455,14
94,3.3644898492131055,6.853069,8.159916,6.447206,14
95,3.510870947182553,7.0434656,7.908859,7.118603,14
96,3.8564847807531626,6.722315,7.944659,6.82727,14
97,3.5057942905041095,6.7433376,7.906545,6.1590014,14
98,3.7953722125142906,7.196724,8.50462,6.89297,14
99,3.7760962735987285,6.8061824,7.7013917,5.9518127,15
